Vinnytsia,Вінниця
Dnieper,Дніпро
Donetsk,Донецьк
Zhytomyr,Житомир
Zaporizhzhia,Запоріжжя
IvanoFrankivsk,Івано-франківськ
Kiev,Київ
Kovel,Ковель
Korosten,Коростень
Kremenchug,Кременчук
Kropivnitsky,Кропивницький
Lugansk,Луганськ
Lutsk,Луцьк
Lviv,Львів
Melitopol,Мелітополь
Mykolayiv,Миколаїв
Mukachevo,Мукачево
Nemiroff,Немирів
Odessa,Одеса
Pervomaysk,Первомайськ
Poltava,Полтава
Rivne,Рівне
Sarny,Сарни
Simferopol,Сімферополь
Sumy,Суми
Ternopil,Тернопіль
Uzhhorod,Ужгород
Uman,Умань
Kharkiv,Харків
Kherson,Херсон
Khmelnytskyi,Хмельницький
Cherkasy,Черкаси
Chernivtsi,Чернівці
Chernigov,Чернігів
